Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light
Optode1-730nm	Optode1-Ambient	Optode1-850nm	Optode2-730nm	Optode2-Ambient	Optode2-850nm	Optode3-730nm	Optode3-Ambient	Optode3-850nm	Optode4-730nm	Optode4-Ambient	Optode4-850nm	Optode5-730nm	Optode5-Ambient	Optode5-850nm	Optode6-730nm	Optode6-Ambient	Optode6-850nm	Optode7-730nm	Optode7-Ambient	Optode7-850nm	Optode8-730nm	Optode8-Ambient	Optode8-850nm	Optode9-730nm	Optode9-Ambient	Optode9-850nm	Optode10-730nm	Optode10-Ambient	Optode10-850nm	Optode11-730nm	Optode11-Ambient	Optode11-850nm	Optode12-730nm	Optode12-Ambient	Optode12-850nm	Optode13-730nm	Optode13-Ambient	Optode13-850nm	Optode14-730nm	Optode14-Ambient	Optode14-850nm	Optode15-730nm	Optode15-Ambient	Optode15-850nm	Optode16-730nm	Optode16-Ambient	Optode16-850nm
840.452890622343	161	1434.93215911908	1364.7457660235	269.827651892254	2009.21409112502	939.019258311569	200.772205242399	1700.73073987194	1425.64085923034	162.530631468517	2030.33066571238	1034.61949328589	189.898917788843	1934.88791015737	1187.73633261892	151.053800476695	1859.00589239751	959.826825924585	151.662704657926	1894.93705263467	1242.84344095694	208.755357188539	2002.0907101422	853.561115737394	165.261065583996	1400.88711684528	1826.27373823351	224.077579698651	2762.43666005698	1096.74908210005	226.136204150883	1944.27418775516	1431.25850987475	147.225536559432	2018.31956549768	979.962749792248	214.230440803457	2155.75672628138	1443.02488905742	135.884775398303	2773.91400880066	936.756359220034	152	2175.66432735851	1098.30801133371	156.884775398303	2073.75441600554
838.940399194299	161	1429.14268638787	1363.58161736054	269.682177698707	2005.10752258244	936.435545316465	200.78045807117	1693.00287910489	1424.09605158834	162.53852145688	2026.39157077365	1032.86336746447	189.8861026212	1928.71617118509	1186.42209478406	151.09091362322	1854.7693228403	958.460888824221	151.560557081733	1889.18581342961	1241.45271330222	208.702616735854	1997.61749473177	852.55887511946	165.189717352267	1396.75977216099	1824.97656631966	224.046156751962	2756.11043757835	1095.52352298744	226.094236652574	1938.69304767236	1430.17197018948	147.244736287061	2013.07970375096	978.904979650124	214.161114154774	2151.42328227282	1441.30120493793	135.898917788843	2767.32812817957	935.867386498455	152	2171.59177372663	1097.68671617196	156.898917788843	2070.3020439565
837.674878980932	161	1424.1447692442	1362.66776913075	269.555195787453	2001.76529341887	934.189907079809	200.803698947011	1686.16965314729	1422.98250779287	162.5543124077	2023.65919782722	1031.40310377155	189.881540282327	1923.34969736792	1185.58204868376	151.140854403134	1851.73132675793	957.503029033928	151.457170196022	1884.35414737486	1240.42418365196	208.66656069237	1993.83743546896	851.820049316631	165.137334932818	1393.33931241176	1824.25759511773	224.035454555511	2751.19366499808	1094.68581607922	226.0668775022	1934.18348619542	1429.70675018015	147.261834176837	2009.37282192607	978.193296078106	214.122409227717	2147.90081445211	1440.02711433526	135.917596325812	2761.97380050805	935.324735649719	152	2168.52598983098	1097.28953708304	156.917596325812	2067.35594591514
836.752860053625	161	1420.22688798852	1362.10432628255	269.46667665205	1999.42308023596	932.424038445788	200.837760862727	1680.63382351168	1422.47131890641	162.58057693814	2022.45907481957	1030.36291344071	189.8861026212	1919.10959914167	1185.30870903827	151.202418414088	1850.09697849543	957.132657229117	151.367052039178	1880.91234988514	1239.84834697754	208.653745524726	1990.99153749487	851.363457992904	165.111986648005	1390.7565504653	1824.13008721571	224.046156751962	2747.89773892192	1094.29125541285	226.056858948414	1930.98370739273	1429.89277134996	147.278513848436	2007.38057750264	977.884027863002	214.119086198363	2145.34813305567	1439.25884794344	135.938843073884	2758.06134931005	935.150242201058	152	2166.56014668075	1097.11095343457	156.938843073884	2064.98527497377
836.193382488461	161	1417.480376547	1361.90630477723	269.426708019111	1998.12908007222	931.191879338122	200.876872874622	1676.58067209414	1422.56660957664	162.614759081045	2022.8018712986	1029.79036531272	189.898917788843	1916.1244695165	1185.5842015582	151.272553528743	1849.81968039975	957.42087109303	151.30204302696	1879.07596043267	1239.72865081274	208.665233469473	1989.14169748958	851.171182577732	165.117758975466	1389.01232987617	1824.53013429679	224.077579698651	2746.19796722697	1094.3297940243	226.065550279303	1929.13327909521	1430.66153202704	147.297209540859	2007.01161263349	977.966384185937	214.148037129269	2143.74578187032	1438.95705684865	135.95927654881	2755.46976046521	935.29566861464	152	2165.55361732964	1097.11193423015	156.957949325913	2063.13514758342
835.933117197543	161	1415.78051669659	1362.0059424788	269.43234046062	1997.73865267579	930.45760204953	200.913736629031	1673.94964191228	1423.09605937074	162.652056112736	2024.3411375678	1029.64463811219	189.916269102915	1914.2956816247	1186.26912744934	151.345201528092	1850.57646671628	958.312101471485	151.26904647628	1878.74600280946	1239.97582695921	208.696639260707	1988.1364285289	851.189420385433	165.152482233832	1387.96996382566	1825.31888125848	224.124332376365	2745.81471658926	1094.72570389926	226.088259177426	1928.45946430757	1431.84438331828	147.320895287215	2007.89482284748	978.372942348943	214.20201132925	2142.91136692925	1439.00684250533	135.976220778044	2753.78911340589	935.659284511436	152	2165.16969634688	1097.23616566437	156.971570525793	2061.65671063407
835.837670911522	161	1414.79890606509	1362.25822906987	269.470438924889	1997.9275058048	930.100840343596	200.941549271054	1672.44148688541	1423.73303937922	162.685156656985	2026.39657636409	1029.80459808954	189.932865598736	1913.31540987731	1187.11866325646	151.412078809096	1851.80445379939	959.633989597312	151.266514002396	1879.52951744093	1240.41894043063	208.737629910783	1987.62907326321	851.336751922747	165.209390496348	1387.37459281313	1826.30423091901	224.17697935345	2746.23815102113	1095.35576152765	226.118476873128	1928.60473272228	1433.19106148019	147.351623873755	2009.42149898747	978.990386552186	214.269749256314	2142.54167957167	1439.22912613007	135.988250197392	2752.412280627	936.103024129139	152	2164.95315296267	1097.41842062766	156.976500394784	2060.34430056859
835.731740842097	160.998672777103	1414.05982810502	1362.47685187398	269.520465718297	1998.25430194752	929.945269789112	200.953843248038	1671.58179999426	1424.07080037438	162.704099751588	2028.06382305251	1030.08579898768	189.941549271054	1912.73372536671	1187.81336906172	151.464184740291	1852.78867935532	961.124959558626	151.286149311173	1880.82777492099	1240.8286194486	208.772882225897	1987.14112467317	851.514973923124	165.27494368294	1386.88949771971	1827.2598800867	224.222265281455	2746.79651058988	1096.06906737616	226.145839082414	1929.09272740467	1434.39978481229	147.387246639957	2010.83072128247	979.68405906017	214.338106715335	2142.29113484755	1439.41182748968	135.995349747749	2750.66762894012	936.479806711273	152	2164.43778430572	1097.5969471129	156.971570525793	2058.98864504663
835.435621166401	160.995349747749	1413.03072235284	1362.47246546956	269.558953149386	1998.2374694618	929.798819319303	200.945416474783	1670.81579367265	1423.70662890438	162.70173043513	2028.38823593992	1030.28210760787	189.934714278332	1912.03771925871	1188.02240139181	151.493684317134	1852.77865869454	962.493115759367	151.315110541901	1881.95495387788	1240.96269831554	208.786132974689	1986.13872575412	851.618399840917	165.334760968306	1386.14536094333	1827.9515134745	224.242799738929	2746.7435817968	1096.7115444589	226.159444805528	1929.40357480888	1435.15665513794	147.423042863408	2011.31920908312	980.321480339399	214.39326901085	2141.83304396462	1439.33905112616	135.997345554206	2747.94162170818	936.661045028127	152	2163.2333588007	1097.7145126141	156.956622103016	2057.40790613861
