Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light
Optode1-730nm	Optode1-Ambient	Optode1-850nm	Optode2-730nm	Optode2-Ambient	Optode2-850nm	Optode3-730nm	Optode3-Ambient	Optode3-850nm	Optode4-730nm	Optode4-Ambient	Optode4-850nm	Optode5-730nm	Optode5-Ambient	Optode5-850nm	Optode6-730nm	Optode6-Ambient	Optode6-850nm	Optode7-730nm	Optode7-Ambient	Optode7-850nm	Optode8-730nm	Optode8-Ambient	Optode8-850nm	Optode9-730nm	Optode9-Ambient	Optode9-850nm	Optode10-730nm	Optode10-Ambient	Optode10-850nm	Optode11-730nm	Optode11-Ambient	Optode11-850nm	Optode12-730nm	Optode12-Ambient	Optode12-850nm	Optode13-730nm	Optode13-Ambient	Optode13-850nm	Optode14-730nm	Optode14-Ambient	Optode14-850nm	Optode15-730nm	Optode15-Ambient	Optode15-850nm	Optode16-730nm	Optode16-Ambient	Optode16-850nm
363.071592712939	139.388301487024	794.885756546508	1671.26528484471	175.723863483927	2501.22124156774	1069.94817892282	138	2207.46937776582	1834.73014210349	146.938843073884	2666.26438298925	1680.06252964164	127.33343930763	3669.70464614725	1524.05255191502	136	2248.02976664869	809.469882140289	125	1674.20152532465	1381.35699978907	145.373439298937	2004.55977806744	1217.91210852426	138.522200026031	2354.95642179537	1870.66457387508	160.101082211157	2667.07689501066	1397.98247568231	137.316061801114	2550.5045119972	1404.61632267739	138.101082211157	1941.43917642804	910.121822550564	126.206138224917	2244.11708693864	1594.27192486314	127	2922.46221674505	312.67550497398	126	866.66796151893	2499.55416895925	134.321269351015	4108.26085774275
363.101255934443	139.388436773317	795.009776455422	1672.47590145697	175.685239229338	2504.68780428911	1070.10055617884	138	2207.77387826844	1834.76863033496	146.95927654881	2667.80228734017	1679.84395028318	127.297383264146	3670.65542847247	1523.27111711754	136	2249.6234581042	809.364766123787	125	1675.27541188046	1380.09496444735	145.427981165965	2005.03884266032	1217.07650243008	138.51730115666	2356.37762256788	1869.45310044638	160.082403674188	2669.50864396201	1397.4394711215	137.314760770662	2552.51243532001	1404.39784343914	138.113897378801	1944.06126129845	910.003865303844	126.218590669617	2245.5159541541	1593.96155860016	127	2925.32098661886	312.64357568822	126	867.183611357799	2499.92704785226	134.308721244315	4107.04627367948
363.10338132349	139.397007877018	795.046198814985	1673.21893744251	175.66656069237	2507.51795155518	1070.1350162527	138	2207.83335199524	1834.87642564186	146.976220778044	2669.75589181955	1679.51310573521	127.244642811461	3671.37800274831	1522.65012090985	136	2251.48362280646	809.193580805019	125	1676.21022497095	1379.07687283454	145.490177264672	2005.88187024745	1216.37769514617	138.498050215044	2357.87186823308	1868.38398908195	160.061156926116	2671.9503148034	1396.89866339665	137.29351402259	2554.38420281346	1404.11594369558	138.118459717673	1946.41016238635	909.847990712605	126.231379644816	2246.52845939835	1593.57262491986	127	2927.65819201595	312.596086106298	126	867.57203468591	2500.23737897201	134.297209540859	4105.96056816835
363.090130574698	139.411008706459	795.006765952943	1673.55410523837	175.671123031242	2509.81264840329	1070.09783290644	138	2207.73288243071	1835.04853606856	146.988250197392	2672.05226025646	1679.14801477695	127.184284051494	3671.95246281938	1522.25468972579	136	2253.62030882808	808.989982516092	125	1676.97700097385	1378.3462124073	145.552819106406	2007.04818446595	1215.89992057539	138.467613593525	2359.41082081257	1867.5367218256	160.039396228293	2674.36659503753	1396.46665878756	137.255703041147	2556.13285917476	1403.8886913893	138.113897378801	1948.55663931041	909.700716891065	126.24008603481	2247.21406891918	1593.14111101263	127	2929.44447284999	312.557201893732	126	867.876070167337	2500.69403601503	134.290687891336	4105.08243971351
363.074925252857	139.425155834601	794.904065116593	1673.58743742452	175.698054396982	2511.71244123015	1070.04003711938	138	2207.54481918067	1835.28179085089	146.995349747749	2674.56271135434	1678.82046820531	127.125659599262	3672.42168600281	1522.11547878857	136	2255.96700925802	808.786131144397	125	1677.54674898386	1377.91524745867	145.606962026035	2008.43542381899	1215.6821227651	138.432278172207	2360.94627085303	1866.93375087657	160.019128969705	2676.69841747609	1396.21480015497	137.207265107301	2557.75527824736	1403.79585021695	138.101082211157	1950.55843263472	909.59357166089	126.241586843051	2247.6191371832	1592.68134010288	127	2930.6241712147	312.549835144489	126	868.138499262521	2501.47317381786	134.293515922474	4104.43418703775
363.069730826232	139.431457288382	794.749545825998	1673.44147307536	175.742542020895	2513.35147155625	1070.00051396343	138	2207.31086258014	1835.55960398414	146.998672777103	2677.10962039578	1678.57579331312	127.076252475754	3672.77018653798	1522.21249036144	136	2258.37706907589	808.605212887512	125	1677.88685541551	1377.76224951254	145.643370540533	2009.88605977535	1215.71223491281	138.399517633226	2362.41074552466	1866.54094464416	160	2678.8634557974	1396.16581593679	137.155310402913	2559.21685390435	1403.85410664927	138.082403674188	1952.42924197314	909.534214249233	126.236211231033	2247.74997960746	1592.17714069924	127	2931.10528787058	312.588990504283	126	868.384057623014	2502.66775988093	134.306691379327	4103.98621888773
363.080902728005	139.424357668451	794.55453491565	1673.22876497101	175.797037411537	2514.82459281253	1069.9986413735	138	2207.03361261351	1835.84985501664	147	2679.48916870774	1678.43059567476	127.040179276815	3672.92011247276	1522.48263823752	136	2260.63412852843	808.459473059332	125	1677.96456626504	1377.83488456159	145.654949527144	2011.20328479691	1215.92793192686	138.376000269131	2363.70715038223	1866.2773750662	159.980871030295	2680.75792830017	1396.28687553962	137.106530629557	2560.43642772165	1404.01030311835	138.061156926116	1954.12192801959	909.504435038429	126.225536559432	2247.57455940327	1591.58811128182	127	2930.79159630435	312.678322912831	126	868.612797069349	2504.2590520892	134.327416936738	4103.65285888145
363.109185075351	139.399246485997	794.330355869382	1673.03015038907	175.853093652666	2516.16693706864	1070.03033807451	138	2206.68676868591	1836.09950914197	147	2681.497269591	1678.38574423635	127.017727277756	3672.8048275084	1522.83725837005	136	2262.51477780398	808.357862288509	125	1677.77791886021	1378.07119502428	145.63725047966	2012.20925199405	1216.2394401986	138.364799182034	2364.74545035178	1866.05243185543	159.960603771707	2682.30865399615	1396.51005342324	137.065829896043	2561.32430167438	1404.16369684373	138.04072345119	1955.56515284723	909.464540118594	126.213242582449	2247.04533519175	1590.85827051834	127	2929.63408181849	312.808366354716	126	868.798829211241	2506.10530515381	134.352152930503	4103.33009016691
363.150865298349	139.356811444749	794.093185111755	1672.89123392682	175.90331404932	2517.36389188584	1070.0792296579	138	2206.24485586052	1836.25237129053	147	2682.97850654184	1678.43640316043	127.005977475148	3672.43698562211	1523.18357362664	136	2263.85182244733	808.308702955166	125	1677.3810871905	1378.40911696804	145.5898319217	2012.79864669994	1216.55243991704	138.36679324023	2365.47386692751	1865.7963340958	159.938843073884	2683.51622087065	1396.75381793077	137.035529024564	2561.82583631194	1404.19980319085	138.023779221956	1956.70014727854	909.374429018651	126.203204162384	2246.136302848	1589.95241159577	127	2927.68836851035	312.95927654881	126	868.903360355617	2507.99367678579	134.374940245121	4102.92264434744
