Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light
Optode1-730nm	Optode1-Ambient	Optode1-850nm	Optode2-730nm	Optode2-Ambient	Optode2-850nm	Optode3-730nm	Optode3-Ambient	Optode3-850nm	Optode4-730nm	Optode4-Ambient	Optode4-850nm	Optode5-730nm	Optode5-Ambient	Optode5-850nm	Optode6-730nm	Optode6-Ambient	Optode6-850nm	Optode7-730nm	Optode7-Ambient	Optode7-850nm	Optode8-730nm	Optode8-Ambient	Optode8-850nm	Optode9-730nm	Optode9-Ambient	Optode9-850nm	Optode10-730nm	Optode10-Ambient	Optode10-850nm	Optode11-730nm	Optode11-Ambient	Optode11-850nm	Optode12-730nm	Optode12-Ambient	Optode12-850nm	Optode13-730nm	Optode13-Ambient	Optode13-850nm	Optode14-730nm	Optode14-Ambient	Optode14-850nm	Optode15-730nm	Optode15-Ambient	Optode15-850nm	Optode16-730nm	Optode16-Ambient	Optode16-850nm
540.813181574737	141.998672777103	892.177691980534	836.36198199823	224.096170101045	1098.63419544409	597.888482791278	149.971570525793	889.078367032001	1236.82908051711	158.856613122982	1555.95288856934	1175.34149361277	139.077556980975	2116.51686969445	1064.95887696995	147.344250268879	1552.26648150003	475.773377748556	134.974893555147	726.518566349158	1159.35071419985	168.196033854103	1623.88575042008	630.251953694218	148.274287836478	900.427383808908	962.126538260482	182.890641201363	1237.72126270176	1163.81734393179	183.99637366477	1914.5863692807	1272.81921485904	146.998672777103	1611.42023989527	977.102305866167	172.998672777103	1945.13103456981	1244.53304999449	135.421026239159	2244.80588930439	813.082573133448	210.916472399509	1573.81041230974	1082.3568554077	139.898917788843	1784.73434916091
540.578037223347	142	891.111565960147	835.709252095292	223.680239205848	1097.03168184535	597.622210586706	149.947526746202	888.139132309716	1235.86416435645	158.774209448794	1554.09120149176	1174.92046380535	139.046700926337	2115.67148966434	1063.81426190266	147.257284255818	1550.45594115967	475.691250734193	134.954626296559	725.975239271139	1158.07499240831	168.084936148072	1622.27238694124	630.16623216762	148.25798689791	899.617842903156	961.863961915076	182.779136410495	1236.2254270784	1164.12281888546	183.874617110188	1913.69469947082	1272.73180134614	146.995349747749	1610.03263472236	976.23143328364	172.875039312653	1942.99702484458	1243.47950211062	135.350651984319	2242.19099457158	812.039450005059	210.630838937972	1571.45390532802	1081.49387784191	139.886102621199	1782.8320137204
540.345057328488	142	890.126169257134	835.087466915416	223.266514002396	1095.60972841753	597.394233415111	149.915063851928	887.340941302877	1234.9535539505	158.673127237637	1552.46497752607	1174.59843969553	139.025106444853	2115.19562984207	1062.74657530494	147.183312162058	1548.98466500126	475.706597841869	134.927093271276	725.603167308982	1156.95053234182	167.980893747971	1621.16952404901	630.14248419766	148.242188706181	899.069586223918	961.762128266532	182.678837513898	1235.35413876823	1164.56073052654	183.768423914221	1913.48789401999	1272.79519738638	146.988250197392	1609.30436809889	975.514978258917	172.761141933853	1941.31484481622	1242.62098934229	135.298007707008	2240.04334647107	811.138967086539	210.363199953077	1569.55761133057	1080.77418756327	139.881540282327	1781.23470488162
540.15568210257	142	889.314620935675	834.586961657259	222.874956581605	1094.52785418749	597.247902130895	149.875545651725	886.765153779714	1234.22701130644	158.559229858837	1551.2614948894	1174.43041291629	139.011749802608	2115.17119058842	1061.86030930454	147.1239101739	1548.01167142917	475.847985078522	134.893817103856	725.4672032338	1156.06351212659	167.881523126872	1620.63390998774	630.197829331117	148.225536559432	898.853616056389	961.847122358766	182.590308216616	1235.1935769129	1165.15538631471	183.683504921604	1914.0682208669	1273.00849817903	146.976220778044	1609.2848372077	975.009891792382	172.665233469473	1940.26277962315	1242.03368738053	135.261846594691	2238.62275656242	810.464795924148	210.128386702864	1568.36016258184	1080.27893826866	139.886102621199	1780.18424315269
540.040905950794	142	888.740612242291	834.285780768333	222.520983467817	1093.90349952924	597.21474939766	149.83178338758	886.463074034268	1233.77864931024	158.440770141163	1550.6035716611	1174.44837087657	139.003323029354	2115.5791052428	1061.22232366442	147.078884203872	1547.56998875251	476.13166684009	134.856867114757	725.599688932325	1155.4570680078	167.785007992189	1620.57828277392	630.344282117228	148.207265107301	898.999437983349	962.111835296132	182.511685870605	1235.69458404247	1165.91203726931	183.620401240633	1915.41115543858	1273.33971320871	146.95927654881	1609.88032336758	974.737424128559	172.58924285158	1939.90374056432	1241.74316601596	135.237807552701	2238.04290969888	810.061054130056	209.932073232022	1567.98627327922	1080.04677185356	139.898917788843	1779.82235175236
540.017018890658	142	888.429903190115	834.234052569863	222.214650073833	1093.79573314073	597.305627934976	149.785971669255	886.449815208342	1233.64998163477	158.326872762363	1550.53438406124	1174.65736509472	138.995349747749	2116.32761962604	1060.85131449474	147.045373703441	1547.5819162576	476.556198093885	134.820295442833	725.998933300291	1155.12302690534	167.690068767097	1620.80709990978	630.586629340751	148.186804107525	899.489680773088	962.522022359206	182.44209736406	1236.69245558159	1166.81986313292	183.576974292047	1917.37607985555	1273.73899848987	146.938843073884	1610.88646386356	974.683897384433	172.529151290499	1940.18976881266	1241.72453810457	135.219891700069	2238.27434972698	809.92926001424	209.773867514816	1568.44111862055	1080.07730862231	139.917596325812	1780.18466407243
540.080560794028	142	888.364893693693	834.443278414125	221.958522017399	1094.19282436063	597.510105244214	149.738951571458	886.698176433491	1233.81813630809	158.225790551206	1551.00666205624	1175.03121330878	138.983599945141	2117.27173443778	1060.71287140188	147.019128969705	1547.88748436997	477.101900632422	134.786059582633	726.627014746882	1155.00162145168	167.596718194051	1621.0689327233	630.91807527566	148.163833421114	900.264382698065	963.024408960101	182.380394225742	1237.96159122151	1167.84697821225	183.547283615266	1919.74111304292	1274.1466891679	146.917596325812	1612.04886956161	974.809462259526	172.478153407545	1940.9860804853	1241.91633927946	135.202278528136	2239.16880084774	810.035862135968	209.648764507783	1569.62329503791	1080.33782118331	139.938843073884	1781.21457929892
540.212994390109	142	888.494417657743	834.888187195792	221.750100710714	1095.02273744038	597.799085631757	149.691302514394	887.148428343528	1234.21102890223	158.143386877018	1551.90383711622	1175.51888056009	138.963143752539	2118.26661619399	1060.73614308855	146.994022524852	1548.30157946863	477.730190730313	134.756590935836	727.422485122321	1155.00069666967	167.506489406152	1621.12952040002	631.319846624861	148.139003823654	901.235366046113	963.558609750427	182.326336849983	1239.27446894245	1168.94892186936	183.523965125869	1922.2571899497	1274.50981251483	146.898917788843	1613.12972773179	975.061919647662	172.428484426176	1942.12552493798	1242.24162291142	135.180943866686	2240.52944912651	810.324491977276	209.549955216514	1571.37068747556	1080.78299495842	139.95927654881	1782.80839233012
540.384899388959	141.998672777103	888.750427178094	835.513949775548	221.583734815716	1096.175192427	598.134486553902	149.6430486693	887.723752641846	1234.72928462937	158.082229950902	1553.07500965409	1176.0553216084	138.930847074603	2119.19663272616	1060.83369020015	146.964470975436	1548.66585393342	478.392846808384	134.732547156245	728.312684084249	1155.02246786647	167.422091604195	1620.83100773923	631.764907133048	148.112832013765	902.304027111188	964.069211999714	182.280265311625	1240.44993495142	1170.06896445959	183.499807240455	1924.69277527244	1274.78786950862	146.8861026212	1613.958647183	975.380940437944	172.374945807342	1943.43900783628	1242.6190028213	135.15462082999	2242.14818979516	810.727072848647	209.471760585564	1573.49139991084	1081.35825239836	139.976220778044	1784.83765069974
