Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light	Light
Optode1-730nm	Optode1-Ambient	Optode1-850nm	Optode2-730nm	Optode2-Ambient	Optode2-850nm	Optode3-730nm	Optode3-Ambient	Optode3-850nm	Optode4-730nm	Optode4-Ambient	Optode4-850nm	Optode5-730nm	Optode5-Ambient	Optode5-850nm	Optode6-730nm	Optode6-Ambient	Optode6-850nm	Optode7-730nm	Optode7-Ambient	Optode7-850nm	Optode8-730nm	Optode8-Ambient	Optode8-850nm	Optode9-730nm	Optode9-Ambient	Optode9-850nm	Optode10-730nm	Optode10-Ambient	Optode10-850nm	Optode11-730nm	Optode11-Ambient	Optode11-850nm	Optode12-730nm	Optode12-Ambient	Optode12-850nm	Optode13-730nm	Optode13-Ambient	Optode13-850nm	Optode14-730nm	Optode14-Ambient	Optode14-850nm	Optode15-730nm	Optode15-Ambient	Optode15-850nm	Optode16-730nm	Optode16-Ambient	Optode16-850nm
537.404384703042	142.129511685363	874.369828695971	854.385395160877	259.235495040884	1063.83875030848	590.248113530352	151.725857390499	833.561755623517	1237.30444163299	165.156528861012	1515.28308085719	1199.64884925632	140.90908637678	2037.07346613494	1107.76500535563	153.624256026508	1548.06813439317	482.085780917479	135.986922974495	703.475319318519	1118.28771924227	173.010966754086	1450.88992980411	633.043309117025	149.451986938681	843.076346229829	950.365167385682	187.856613122982	1159.46091870278	1149.69745102688	188.137399891306	1834.21493454666	1267.3664334393	148.880392344938	1529.40326939534	936.36056928969	176.958493500288	1754.94983116525	1190.86960368121	137.475672685038	2035.42980910191	795.656377138599	216.629685438362	1477.36140323936	1048.84932287671	140.998672777103	1614.16267269995
536.973826167448	142.155948052887	873.61524512742	854.436680585181	259.664145949437	1063.92015997064	589.90265266946	151.787830648674	832.986102520397	1236.95175104282	165.231574047952	1515.26887225837	1198.71598164863	140.946199523305	2034.56368395449	1106.68150128642	153.702790459141	1546.05735652469	481.686597948496	135.995349747749	702.475095912261	1116.50294921841	173.067208870317	1447.65910551883	632.64860716313	149.427592784427	842.204848346509	949.742673245864	187.92819262881	1157.57827879778	1149.45061775435	188.171106694758	1833.13632341687	1266.80912745927	148.929519851706	1527.55527961734	935.820092466963	176.982272722244	1753.35354233559	1190.50568970964	137.529740360619	2034.24531556589	795.441201038497	216.708409126059	1476.40217788938	1049.08754416276	141	1614.71464342419
536.496309456559	142.179616643789	872.654742602932	854.339080932606	260.012182887519	1063.71840223725	589.47531748952	151.82791909114	832.19816165482	1236.3753814573	165.275786744834	1514.85867158067	1197.68611106874	140.971570525793	2031.81018732655	1105.45357602443	153.775007614943	1543.73384674504	481.208392789574	135.998672777103	701.261964557219	1114.6250734254	173.117149650231	1444.17236589473	632.201544323702	149.382319412218	841.306598240259	949.088850344796	187.982272722244	1155.7530715809	1149.08392186849	188.181106249117	1832.03272771082	1266.12449192337	148.963143752539	1525.63584823532	935.202031751595	176.994022524852	1751.51350288905	1190.03323137287	137.548418897587	2032.58106341988	795.134578064436	216.775536671691	1475.15482274324	1049.37430663886	141	1615.14666550812
535.982278500878	142.197628275886	871.544971758393	854.084132823634	260.257590817053	1063.25062591505	588.986151266829	151.844583703634	831.240141209577	1235.61048444136	165.291405788998	1514.12608812496	1196.58827127873	140.986922974495	2028.96586852082	1104.11118220885	153.837384899043	1541.19846380555	480.672515212628	136	699.911088801656	1112.70150382495	173.160911914376	1440.54599128978	631.745679176047	149.326089713841	840.500131518452	948.427317014032	188.022996173434	1154.12421507024	1148.63717691245	188.176551638389	1831.0739533174	1265.33134865777	148.983599945141	1523.78528234876	934.516016016685	176.998672777103	1749.51105715876	1189.42960356306	137.531067583516	2030.47727388869	794.727065103146	216.827308709708	1473.66735361989	1049.67580294856	141	1615.44668896804
535.44191413021	142.206814674564	870.333843332654	853.667373421105	260.387888250712	1062.54166524199	588.460514043167	151.840016627161	830.163343638466	1234.70073150956	165.283240873605	1513.15591143511	1195.44822849885	140.995349747749	2026.14460686201	1102.68837843595	153.886164672399	1538.5344064012	480.101867959452	135.998672777103	698.500869698201	1110.77537129282	173.196301052989	1436.86246133727	631.317872978399	149.270547422464	839.862592420444	947.767435003734	188.056506673866	1152.74064581623	1148.15002648144	188.167339822261	1830.35048591699	1264.43995397233	148.994022524852	1522.05253129813	933.755039835767	177	1747.42229524116	1188.65100275492	137.482977383082	2027.99735063174	794.209681220242	216.863714524432	1472.01267371155	1049.93229195032	141	1615.6054469589
534.890170909858	142.209378078494	869.075231993979	853.099192103075	260.40352874972	1061.63352521561	587.930151894618	151.821360807868	829.03926019615	1233.70323326125	165.257457979105	1512.04942652506	1194.30437054819	140.998672777103	2023.45094208569	1101.24391534591	153.917770049098	1535.84657285196	479.525637382404	135.995349747749	697.108466121492	1108.91094198763	173.21954192883	1433.22406870403	630.940705419902	149.224463328309	839.41983754674	947.115376072328	188.085726703542	1151.57928276579	1147.65914893295	188.16128787806	1829.87620821841	1263.46259625233	148.998672777103	1520.41657950946	932.918467557654	177	1745.33444600753	1187.66868743989	137.41566369631	2025.25296083936	793.595630115243	216.892161154093	1470.30739240294	1050.08655224287	141	1615.63167173465
534.349166663819	142.208046117996	867.83844767855	852.407030008385	260.316295537773	1060.59152385153	587.427880100486	151.796394248967	827.952857340017	1232.68013002191	165.220340094979	1510.92205001503	1193.21450774561	141	2021.00138131465	1099.86730386222	153.927614727975	1533.28549573549	478.974779486533	135.988250197392	695.809762782697	1107.2020310304	173.227794757601	1429.7896854143	630.623854741106	149.19373474177	839.148274682986	946.493649883838	188.112832013765	1150.57844481393	1147.20335018523	188.162855969456	1829.6054852114	1262.43115233534	149	1518.82209358095	932.02627021454	177	1743.35266515804	1186.49262337395	137.344674509172	2022.40891696587	792.92999529704	216.928936343808	1468.71281508008	1050.10519912179	141	1615.56422997363
533.852503526349	142.207094083788	866.712429088854	851.638810052753	260.148441114445	1059.50718827771	586.985536730487	151.773153373126	826.999181985251	1231.69568904877	165.17707282905	1509.89534505208	1192.25503037615	141	2018.93269978967	1098.67283971663	153.913119796848	1531.04845460359	478.482544298171	135.976220778044	694.674340425596	1105.76596876335	173.21954192883	1426.77928113842	630.364513909438	149.180510323365	838.994693354952	945.94280610619	188.137676600757	1149.67925138551	1146.82300572129	188.174532848218	1829.46689973939	1261.40116889813	149	1517.22661852108	931.13225818169	177	1741.60495840395	1185.19035925654	137.284315749205	2019.68500979789	792.289420241081	216.992904397985	1467.42471256726	1049.99612723049	141	1615.48262537586
533.4363471916	142.209797581185	865.793730047809	850.853457741643	259.925747041832	1058.48292797988	586.625603366579	151.75580518754	826.259473162317	1230.803679654	165.130633760573	1509.0744842163	1191.51147617064	141	2017.3835234872	1097.77841552395	153.874414869791	1529.34464905214	478.079971723908	135.95927654881	693.762633775989	1104.71814592593	173.196301052989	1424.42935500792	630.155417929312	149.181560698869	838.900571279949	945.517414819025	188.157855945966	1148.85076327592	1146.55505286644	188.194712193427	1829.39721844096	1260.44436684491	148.998672777103	1515.62872217572	930.313687131194	177	1740.21804085443	1183.87459300254	137.243940031427	2017.31258593663	791.765075503772	217.099771354456	1466.63042689821	1049.80608168789	141	1615.48804482089
