AnalysisSet,OmittedSubject,RemainingSubjectCount,Mean1Back,Mean2Back,Mean3Back,MeanDifference3minus1,CohenDz,ExactPairedSignFlipP,DirectionChangedFromFull,Interpretation
Full sample,NaN,5,-0.0037653247165392,-0.0494921751347958,0.0161157891320647,0.0198811138486039,0.193862139987304,0.8125,0,Reference
Leave out Subject 3,3,4,-0.00912854895640852,-0.058127168548448,0.0367811255816774,0.0459096745380859,0.47086949677318,0.625,0,Direction retained
Leave out Subject 4,4,4,0.00116090816138419,-0.0488399761625902,0.0171453847803414,0.0159844766189572,0.135473556519634,1,0,Direction retained
Leave out Subject 5,5,4,-0.00233604855902589,-0.0623781547445885,0.0250027795192753,0.0273388280783012,0.233981644474951,0.75,0,Direction retained
Leave out Subject 6,6,4,-0.00267022834144893,-0.04558066710707,0.0292787813612135,0.0319490097026624,0.279653814351254,0.75,0,Direction retained
Leave out Subject 8,8,4,-0.00585270588719684,-0.0325349091112823,-0.0276291255821843,-0.0217764196949874,-0.439611074498577,0.5,1,Direction changed
