Subject,Condition,Optode,MeanAcrossBlocksHbO,MedianAcrossBlocksHbO,AUCHbO,MaximumHbO,RobustPeakHbO95
3,1,1,0.0139979997905316,-0.0012003719725227,0.818698806864045,0.178947070411946,0.169781358937496
3,1,2,-0.000906764158811408,-0.0051008064556376,-0.0617682230660071,0.141055139212269,0.127783982108926
3,1,3,0.00563930847673208,0.0066191130327651,0.324657315973322,0.187387166446163,0.178069915399522
3,1,4,0.01299414113816,0.0376677969532989,0.758439679121076,0.157706928436997,0.147373138505895
3,1,5,-0.000249094789586378,-0.0411495821311499,-0.0240897057431019,0.205904346593504,0.190982031302029
3,1,6,0.0110187585389395,0.013414150068758,0.641397896025925,0.15326117994813,0.139917277491792
3,1,7,-0.000874941869081612,-0.0165004934254128,-0.0606188016014698,0.202744523345635,0.187677098716674
3,1,8,0.0200779413065091,0.00355558801915527,1.17850311848343,0.202041425072286,0.188936339868576
3,1,9,0.0231311754731141,0.0193688343750874,1.35912145835974,0.201404382512522,0.1894669909496
3,1,10,0.0465547266945828,0.0453328417769288,2.73722285789529,0.234974760977908,0.217120026444201
3,1,11,0.0246563225019634,0.00735482296104949,1.44701111279515,0.197357014544459,0.180543214822845
3,1,12,0.0350818146545427,0.0484226547904288,2.05905647452333,0.218317643250319,0.195963429402093
3,1,13,0.0101281526566023,-0.00740049291026394,0.588065355624368,0.239309365370595,0.223085772855019
3,1,14,0.0560888650255181,0.0633886410441808,3.29774249791853,0.272878218303356,0.255746006253663
3,1,15,0.0213376505647134,0.0421919053719647,1.25039981129041,0.198027517153595,0.181435852707579
3,1,16,0.00432509988257981,0.0040690598951914,0.254936921885828,0.0398546643250828,0.0344841735843243
3,2,1,-0.0476144168831163,-0.0367153873451894,-2.81135633005831,0.1006520617973,0.0880680911747883
3,2,2,0.0208712788776329,0.00704712469128388,1.22794399953234,0.229170778070465,0.206254552860628
3,2,3,-0.058108677520332,-0.0587914312694113,-3.43175990614545,0.101401762617033,0.0856994204140899
3,2,4,0.00564482167677425,0.000206191150174314,0.323490927611709,0.164991441843714,0.148820586367857
3,2,5,-0.0612696491129876,-0.0210020637915165,-3.62005591047754,0.107478253015949,0.0905307695149611
3,2,6,-0.0435123618736013,-0.0292142191165061,-2.5721156816186,0.0987963500200646,0.0862369624899523
3,2,7,-0.0495459709361219,0.00638504388566086,-2.92849590278289,0.123435049232742,0.101324123623239
3,2,8,-0.0518659747800149,-0.0123885793708704,-3.06559837262789,0.121195090273887,0.102884465670159
3,2,9,-0.00431247439126848,-0.0109018153504046,-0.265337129526429,0.137610649094461,0.113909257161364
3,2,10,0.0254678627126312,0.0124388616589703,1.4871837235298,0.157993864440168,0.135336388146325
3,2,11,-0.0114558300790757,-0.0116480582750104,-0.688844591405488,0.105436683780561,0.0896506421684869
3,2,12,0.0221602305380973,0.00667690072325757,1.29080029665245,0.225224069471328,0.205635428074737
3,2,13,0.00462644596454331,0.0160854146537057,0.261106194443444,0.132807980330967,0.122915244697989
3,2,14,0.0687456357111793,0.0847191337770283,4.03982499011312,0.285174053260699,0.268296000202204
3,2,15,-0.0453631748961562,-0.021380527821991,-2.68538357975052,0.137504253255463,0.119354008792905
3,2,16,-0.0137029686911739,-0.0143863678290347,-0.807883949570826,0.0420819877127117,0.0305970269412312
3,3,1,-0.0905373339074318,-0.0744162434518626,-5.33659600363214,0.0346674946158101,0.0131852361316519
3,3,2,-0.0252085381276133,-0.0418857976394096,-1.47979220100027,0.0871604296688105,0.0698077530666577
3,3,3,-0.0823042952843673,-0.093296380928714,-4.85033263990089,0.0717331346843394,0.0437551718075173
3,3,4,-0.135217715969169,-0.134420372037782,-7.97157124713162,0.0774746906552153,0.0398398908813283
3,3,5,-0.107021654148939,-0.0498544157198886,-6.31205158199389,0.12143797298005,0.100371715473458
3,3,6,-0.12212426454823,-0.171118734798164,-7.20347473663175,0.130760836042286,0.118952380290475
3,3,7,-0.133127802034644,-0.119799351335011,-7.85276243584376,0.114418677028695,0.0954403241820321
3,3,8,-0.183575934456395,-0.231369383936231,-10.8277492566154,0.154659519328593,0.113791327550347
3,3,9,-0.00503107503248545,0.0230158428169467,-0.295068245721238,0.211276960144773,0.193079104535447
3,3,10,-0.0107354708268916,0.0469142685446834,-0.629983212920966,0.194151972797338,0.175389973401669
3,3,11,0.00681942677602563,0.00777623840361478,0.406550898769067,0.154881638657107,0.143170187506051
3,3,12,0.0449112162124087,0.0805948706126591,2.65045119298322,0.205301423610727,0.190933077088779
3,3,13,-0.0950492757346898,-0.0323956379097898,-5.60374523697187,0.112994033716225,0.0825781752030973
3,3,14,-0.0307814902297751,-0.0123294076692873,-1.81873803370407,0.185249664805074,0.160712461382038
3,3,15,-0.0352499054323124,-0.00837346093084014,-2.07676619503202,0.111697092597176,0.0958262855984963
3,3,16,-0.0604947939176729,-0.0662649725448199,-3.56936679066414,0.0359734620594648,0.0279145642211884
4,1,1,-0.0350720104018811,-0.0389477312868973,-2.06559093902107,0.0829021752352154,0.0723474877807873
4,1,2,-0.0333484115890251,-0.0616248638941762,-1.96784271212334,0.074630086928098,0.0596928900387554
