Subject,Block,Condition,Optode,NonFiniteSampleCount,NonPositiveSampleCount,BaselineCV730,BaselineCV850,AmbientToSignalRatio,AmbientCorrelation730,AmbientCorrelation850,MotionCandidateFraction,MathematicallyValidChannel
3,4,1,1,0,0,0.00123214274019349,0.00119354203951022,0.241758969894303,-0.473581731848618,-0.00248855534953487,0,1
3,4,1,2,0,0,0.00172444718720487,0.00126525518810129,0.082956925292975,0.544575338418258,0.722669159361279,0,1
3,4,1,3,0,0,0.00219671819969358,0.00174166910940457,0.084941774915266,-0.0392507877387728,0.31398560392127,0,1
3,4,1,4,0,0,0.00184787017797448,0.00198137155192813,0.0688142232771059,0.583672409572101,0.736386862741498,0,1
3,4,1,5,0,0,0.00190337886947518,0.00187157954649721,0.0467635268832986,0.0368240563500558,-0.00165945248842969,0,1
3,4,1,6,0,0,0.00180788653057985,0.00188335139290564,0.0724366910730418,0.601934815138908,0.675449517141712,0,1
3,4,1,7,0,0,0.00133019373500198,0.00229678352794856,0.0963448436030538,NaN,NaN,0,1
3,4,1,8,0,0,0.00248583650834248,0.00271932308509338,0.0890927939374251,0.580071936113483,0.683696095540027,0,1
3,4,1,9,0,0,0.000834810393119785,0.00234749617482091,0.0806414732475392,0.343151835495913,0.270877882780014,0,1
3,4,1,10,0,0,0.00063031077593429,0.00389835343368883,0.0730779383277931,0.684985427336397,0.872051235512624,0,1
3,4,1,11,0,0,0.00109633025428311,0.0035905605806922,0.0709607508554719,-0.131258611245803,-0.211310704646483,0,1
3,4,1,12,0,0,0.00107552131126535,0.00510127357486102,0.0973223466808245,0.468276162020129,0.704323983904663,0,1
3,4,1,13,0,0,0.000972179447542541,0.00283725322709791,0.0802781501548474,0.385023081663844,0.201997870855416,0,1
3,4,1,14,0,0,0.00134010100173168,0.00402308176328121,0.0680195021512872,0.593511782245589,0.677888445245001,0,1
3,4,1,15,0,0,0.000838357842224471,0.00257003251916905,0.223758961222567,-0.347032714661286,0.290231024705182,0,1
3,4,1,16,0,0,0.00158078381715124,0.000167093849503016,0.0396761438799676,0.557210714607989,0.560113645554948,0,1
3,5,1,1,0,0,0.00110029932479441,0.00364487205321973,0.239685785823261,-0.138471672492856,0.204792256000101,0,1
3,5,1,2,0,0,0.00205678174309708,0.00470412464254659,0.0833326176676489,-0.304150888050933,0.702648161331577,0,1
3,5,1,3,0,0,0.00153707060455912,0.00415569472632958,0.0837901005342813,0.365362341955865,-0.545595364517175,0,1
3,5,1,4,0,0,0.00234396337368358,0.00377438538471504,0.0658072780677686,0.623274115723372,0.709989905583776,0,1
