Subject,Condition,ConditionName,Block,GlobalChannelAverageMeanHbO,GlobalChannelMedianMeanHbO,GlobalChannelAverageAUCHbO,GlobalChannelAverageMaximumHbO,GlobalChannelAverageRobustPeakHbO95
3,1,1-back,4,0.0130900116789689,0.00571194142812045,0.756668018983071,0.196086795902108,0.179655572060406
3,1,1-back,5,0.0107551755090399,0.0077045989468296,0.626624829191309,0.185198341472182,0.169278758124538
3,1,1-back,6,0.0292175295408055,0.0316446839878003,1.72335275989122,0.187059489982854,0.177634409068225
3,2,2-back,7,0.00222685413473251,0.00765673776345738,0.128367021357774,0.123593250551313,0.110720985876759
3,2,2-back,8,-0.0409149502443737,-0.0347920091335224,-2.42497612666836,0.160666077269675,0.135273148661826
3,2,2-back,9,-0.00616850833091942,-0.0120183188229404,-0.374606123829621,0.141544608719796,0.128164547017837
3,3,3-back,10,0.023370012807887,0.018658511427353,1.38030949853325,0.195837463353958,0.181846061182963
3,3,3-back,11,-0.185873360134168,-0.181736710870694,-10.9677681442428,0.0703767970398377,0.0388423496907988
3,3,3-back,12,-0.0371333226728779,-0.0210390886581369,-2.18210305291768,0.109505552742145,0.0914517694362817
4,1,1-back,4,-0.0391397588337799,-0.0322038317574337,-2.31248960610888,0.145954877721184,0.133656499907436
4,1,1-back,5,0.0025486773713031,-0.00442953661911484,0.15256791430824,0.0916242066325064,0.0778852585195478
4,1,1-back,6,-0.0338196872222215,-0.0414172923850436,-1.99664078078644,0.0778478650243963,0.0637040057466238
4,2,2-back,7,-0.16091949057527,-0.128535323397404,-9.48861422964375,0.0227184065387257,-0.0153907477159433
4,2,2-back,8,-0.0269592017718424,-0.0298911790492692,-1.59891142952656,0.174982916097059,0.152916985412372
4,2,2-back,9,0.0315757792762571,0.0251345252928249,1.85533502533316,0.15597253449369,0.145252236447317
4,3,3-back,10,-0.0719843142979897,-0.0757279868353578,-4.24671255084442,0.101514310351246,0.0595253118413571
4,3,3-back,11,0.079450880413135,0.0897514864714105,4.68845352672051,0.216804307759503,0.203072340196661
4,3,3-back,12,0.028525653501728,0.000662863741714309,1.67627948696152,0.157600743098394,0.141808229109051
5,1,1-back,4,-0.0199843495256743,-0.0233072719313968,-1.17481483482142,0.0590725929827828,0.0485885317643702
5,1,1-back,5,0.0152403500768222,0.00426899361190074,0.892723170715212,0.0816749406761949,0.0710004845393294
5,1,1-back,6,-0.0237032885909252,-0.0280841727004975,-1.39858923816952,0.0688072015179578,0.0585059570096642
5,2,2-back,7,0.0369395986378283,0.031859035004824,2.17200199180644,0.129417330441632,0.119261571158668
5,2,2-back,8,0.0580051058800978,0.0566804968832734,3.41331479371228,0.163351069129906,0.153287342642772
5,2,2-back,9,-0.088789474604801,-0.0870842637814761,-5.22837314493573,0.0245567829814029,0.00573066696609537
5,3,3-back,10,-0.0610007165362605,-0.0488307752270079,-3.59540404961522,0.0772891387985643,0.0689016812002754
5,3,3-back,11,-0.028673596146881,-0.029476005519685,-1.69268360172428,0.0754580297756108,0.0595732265300486
5,3,3-back,12,0.0313777954328076,0.0326523885704502,1.85173651685407,0.121029818615657,0.11168440740908
6,1,1-back,4,-0.0121112902676442,-0.00659657226890387,-0.707407821556295,0.071010459557267,0.0585813162407205
6,1,1-back,5,-0.016355887671385,-0.0169345667744734,-0.966625423224985,0.0582008990279586,0.0499565070279227
6,1,1-back,6,0.00403004728832845,0.010424473690366,0.243640616717294,0.0815456375585511,0.0731585610297057
6,2,2-back,7,-0.108136423565164,-0.109556580161445,-6.37799808492235,0.13230648686294,0.109568091982298
6,2,2-back,8,-0.0426986941362336,-0.051701605584963,-2.51478536356309,0.0531354756514236,0.0327575754903546
6,2,2-back,9,-0.0445795040356999,-0.0463419209725443,-2.62863073596707,0.0524097427149898,0.0374820324454488
6,3,3-back,10,-0.0877861042909386,-0.0696395837667207,-5.17680339836241,0.119008307984872,0.104825749694369
6,3,3-back,11,-0.10002647060138,-0.100491585619998,-5.91408845584438,0.113570867973327,0.0999555893161029
6,3,3-back,12,0.0782040355387266,0.0736777358010178,4.61076895844457,0.200160792035638,0.1830457977155
8,1,1-back,4,0.0511952689014911,0.0560555217784453,3.01307546603684,0.221146634016637,0.198782830680823
8,1,1-back,5,-0.00349514701582332,0.00140044010067764,-0.220133027123124,0.300720111876964,0.271508836286941
8,1,1-back,6,-0.0339475219873936,-0.0209727184682814,-2.0091141905674,0.114949167828944,0.10066999817586
8,2,2-back,7,-0.376419667942673,-0.36044865686594,-22.2056573492469,0.05084331926969,-0.0395303204437085
8,2,2-back,8,0.0734536762084361,0.0725534642694307,4.32136993848561,0.264807135824751,0.2315481709618
8,2,2-back,9,-0.0489977259523125,-0.0350808086113578,-2.88963018758176,0.0453830641781484,0.024180708907657
8,3,3-back,10,0.226425109127199,0.221518640544903,13.3346801048482,0.462780037684733,0.433476132882734
8,3,3-back,11,0.086967416722304,0.0898340780385081,5.12769180421915,0.488248624515464,0.461946476559214
8,3,3-back,12,0.259893818117679,0.249617944512931,15.3273723654756,0.624930297478652,0.59690513389746
