Optode,ValidSubjectCount,MeanDifference3minus1,CohenDz,CI95Lower,CI95Upper,ExactPairedSignFlipP,PairedFDRAdjustedP,PairedSignificantAtFDR05,OmnibusStatistic,ExactOmnibusP,OmnibusFDRAdjustedP,OmnibusSignificantAtFDR05
1,5,0.0233928150965426,0.199115698271092,-0.056270076679073,0.126844339833318,0.75,0.9375,0,0.00220138562732976,0.543981481481482,0.69610636277303,0
2,5,0.064793734065484,0.559714135855386,-0.00670176652867618,0.165664070894954,0.25,0.9375,0,0.00262748005692554,0.64429012345679,0.712962962962963,0
3,5,0.0127179383818304,0.120014048527198,-0.0540398370552557,0.107249601622549,0.875,0.9375,0,0.00157816842905082,0.550154320987654,0.69610636277303,0
4,5,0.018658087649884,0.151716751327823,-0.0797203435391355,0.117984238872814,0.6875,0.9375,0,0.00103510195510234,0.699845679012346,0.712962962962963,0
5,5,0.0137697874486023,0.14440753620981,-0.0582180238601992,0.0960727227608038,0.625,0.9375,0,0.0023975733912689,0.286265432098765,0.69610636277303,0
6,5,0.0304315841781035,0.266199617033321,-0.0641578006415757,0.11947192706147,0.5625,0.9375,0,0.00292012387450353,0.408179012345679,0.69610636277303,0
7,5,0.0132041976364408,0.10519079762467,-0.0789129825085739,0.121984666745674,0.8125,0.9375,0,0.00389550137529122,0.456018518518519,0.69610636277303,0
8,5,0.00262816484617878,0.0165120215171657,-0.122390049363632,0.141912842718562,0.9375,0.9375,0,0.00483727773377397,0.48070987654321,0.69610636277303,0
9,5,0.0159353917291507,0.194208278668356,-0.0325696394401774,0.0895478174639988,0.9375,0.9375,0,0.00246125567505308,0.23070987654321,0.69610636277303,0
10,5,0.0269277697953587,0.248982147538966,-0.0442965845379544,0.121445983293749,0.875,0.9375,0,0.00396340530264711,0.375771604938272,0.69610636277303,0
11,5,0.0267762311822413,0.282297053789445,-0.0409042622973163,0.109798833696899,0.625,0.9375,0,0.00210862665167108,0.313271604938272,0.69610636277303,0
12,5,0.0440575964143721,0.470743806881912,-0.0271959433172354,0.11531113614598,0.375,0.9375,0,0.00415010315302252,0.158179012345679,0.69610636277303,0
13,5,-0.0150962268947079,-0.137481632773027,-0.0811624687216287,0.0799875833450688,0.75,0.9375,0,0.000955598696893758,0.712962962962963,0.712962962962963,0
14,5,0.00508774260550605,0.0507058007749316,-0.0686463458783378,0.090566925126565,0.9375,0.9375,0,0.00139055064233906,0.565586419753086,0.69610636277303,0
15,5,0.00762348234892847,0.0858672337687151,-0.0568566812721178,0.0838908600198616,0.875,0.9375,0,0.00208524407255211,0.279320987654321,0.69610636277303,0
16,5,0.0271895250937462,0.283444057891367,-0.0368901142412331,0.111555901294483,0.6875,0.9375,0,0.00243942731718559,0.386574074074074,0.69610636277303,0
