Condition,ConditionName,PrimaryGlobalMeanHbO,PrimaryGlobalSEMHbO,PrimaryGlobalMedianHbO,MedianBlockAggregationGroupMeanHbO,MedianBlockAggregationGroupMedianHbO
1,1-back,-0.0037653247165392,0.00696454858100326,-0.00814571021690027,-0.00656739493146044,-0.00498336713427565
2,2-back,-0.0494921751347958,0.0208592561957578,-0.0521009710236183,-0.0215393043761217,-0.0259277242861506
3,3-back,0.0161157891320647,0.0455541587449363,-0.0194321724167779,0.0209940295571266,-0.0149760293635263
